,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
264,2016,2016/P05,2016/W18,West Suburban,Off-Peak,487894,5213201
265,2016,2016/P05,2016/W18,East Suburban,Peak,61344,1159274
266,2016,2016/P05,2016/W18,eXpress,Peak,27191,941309
267,2016,2016/P05,2016/W18,Inter7City,Peak,57831,3034429
268,2016,2016/P05,2016/W18,Scenic,Peak,21975,764861
269,2016,2016/P05,2016/W18,West Suburban,Peak,248072,3185783
270,2016,2016/P05,2016/W19,East Suburban,Commuter,67812,1162285
271,2016,2016/P05,2016/W19,eXpress,Commuter,31382,921343
272,2016,2016/P05,2016/W19,Inter7City,Commuter,28006,746329
273,2016,2016/P05,2016/W19,Scenic,Commuter,10303,190663
274,2016,2016/P05,2016/W19,West Suburban,Commuter,304786,3349274
275,2016,2016/P05,2016/W19,East Suburban,Off-Peak,70720,1412154
276,2016,2016/P05,2016/W19,eXpress,Off-Peak,46747,1752526
277,2016,2016/P05,2016/W19,Inter7City,Off-Peak,81934,5544572
278,2016,2016/P05,2016/W19,Scenic,Off-Peak,34404,1549751
279,2016,2016/P05,2016/W19,West Suburban,Off-Peak,487489,5376940
280,2016,2016/P05,2016/W19,East Suburban,Peak,67427,1286354
281,2016,2016/P05,2016/W19,eXpress,Peak,30434,1061412
282,2016,2016/P05,2016/W19,Inter7City,Peak,61171,3233867
283,2016,2016/P05,2016/W19,Scenic,Peak,23892,850176
284,2016,2016/P05,2016/W19,West Suburban,Peak,278076,3544676
285,2016,2016/P05,2016/W20,East Suburban,Commuter,69760,1203565
286,2016,2016/P05,2016/W20,eXpress,Commuter,25851,650812
287,2016,2016/P05,2016/W20,Inter7City,Commuter,26013,688238
288,2016,2016/P05,2016/W20,Scenic,Commuter,9760,183759
289,2016,2016/P05,2016/W20,West Suburban,Commuter,308625,3527910
290,2016,2016/P05,2016/W20,East Suburban,Off-Peak,74645,1572255
291,2016,2016/P05,2016/W20,eXpress,Off-Peak,33119,1106658
292,2016,2016/P05,2016/W20,Inter7City,Off-Peak,80178,5433548
293,2016,2016/P05,2016/W20,Scenic,Off-Peak,35240,1512563
294,2016,2016/P05,2016/W20,West Suburban,Off-Peak,488865,5638549
295,2016,2016/P05,2016/W20,East Suburban,Peak,68014,1325112
