,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
81,05/02/2022,LGW,EDI,LGW-EDI,3,0,ECONOMY,oneway,05/04/2022,,GBP,20700,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
82,05/02/2022,LGW,EDI,LGW-EDI,2,2,ECONOMY,oneway,07/10/2022,,GBP,13400,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
83,05/02/2022,LGW,EDI,LGW-EDI,2,2,ECONOMY,oneway,07/10/2022,,GBP,13400,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
84,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,oneway,26/05/2022,,GBP,2900,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
85,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,oneway,26/05/2022,,GBP,2900,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
86,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,20/05/2022,22/05/2022,GBP,16900,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
87,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,20/05/2022,22/05/2022,GBP,16900,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
88,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,oneway,05/04/2022,,GBP,7800,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
89,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,oneway,05/04/2022,,GBP,7800,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
90,05/02/2022,LGW,EDI,LGW-EDI,2,0,ECONOMY,return,05/06/2022,05/08/2022,GBP,42200,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
91,05/02/2022,LGW,EDI,LGW-EDI,2,0,ECONOMY,return,05/06/2022,05/08/2022,GBP,42200,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
92,05/02/2022,LGW,EDI,LGW-EDI,4,0,ECONOMY,return,11/12/2022,13/11/2022,GBP,32000,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
93,05/02/2022,LGW,EDI,LGW-EDI,4,0,ECONOMY,return,11/12/2022,13/11/2022,GBP,32000,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
94,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,06/09/2022,14/06/2022,GBP,7300,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
95,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,06/09/2022,14/06/2022,GBP,7300,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
96,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,27/05/2022,30/05/2022,GBP,12600,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
97,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,27/05/2022,30/05/2022,GBP,12600,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
98,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,oneway,05/09/2022,,GBP,4300,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
99,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,oneway,05/09/2022,,GBP,4300,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
100,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,14/07/2022,17/07/2022,GBP,16800,CENTI,-32356,REDIRECT,UK,3956.945458,,27.86581309
101,05/02/2022,LGW,EDI,LGW-EDI,1,0,ECONOMY,return,14/07/2022,17/07/2022,GBP,16800,CENTI,-32356,DIRECT_BOOKING,UK,3956.945458,,27.86581309
102,05/02/2022,ALC,EDI,ALC-EDI,1,0,ECONOMY,return,05/04/2022,05/06/2022,GBP,6700,CENTI,-31915,REDIRECT,Spain,14486.07448,,78.30310529
103,05/02/2022,ALC,EDI,ALC-EDI,1,0,ECONOMY,return,05/04/2022,05/06/2022,GBP,6700,CENTI,-31915,DIRECT_BOOKING,Spain,14486.07448,,78.30310529
