,dt,device_type,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,latitude_deg_origin,longitude_deg_origin,iso_country_origin,iata_code_origin,latitude_deg_dest,longitude_deg_dest,iata_code_dest,distance_miles,distance_km,CO2_emissions,CO2_emissions_per_passenger
91,2022-02-05,IOS,LGW,EDI,LGW-EDI,2.0,0.0,ECONOMY,return,2022-06-05,2022-08-05,GBP,42200.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
92,2022-02-05,IOS,LGW,EDI,LGW-EDI,4.0,0.0,ECONOMY,return,2022-12-11,2022-11-13,GBP,32000.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
93,2022-02-05,IOS,LGW,EDI,LGW-EDI,4.0,0.0,ECONOMY,return,2022-12-11,2022-11-13,GBP,32000.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
94,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-09-06,2022-06-14,GBP,7300.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
95,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-09-06,2022-06-14,GBP,7300.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
96,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-30,GBP,12600.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
97,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-30,GBP,12600.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
98,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-09-05,,GBP,4300.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
99,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,oneway,2022-09-05,,GBP,4300.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
100,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-07-14,2022-07-17,GBP,16800.0,CENTI,-32356,REDIRECT,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
101,2022-02-05,IOS,LGW,EDI,LGW-EDI,1.0,0.0,ECONOMY,return,2022-07-14,2022-07-17,GBP,16800.0,CENTI,-32356,DIRECT_BOOKING,51.148102,-0.190278,GB,LGW,55.950145,-3.372288,EDI,356.48157409436004,573.7014823793138,3956.9454581998602,27.86581308591451
116,2022-02-05,IOS,BFS,EDI,BFS-EDI,1.0,0.0,ECONOMY,return,2022-10-14,2022-10-16,GBP,7500.0,CENTI,-32356,REDIRECT,54.6575012207,-6.21582984924,GB,BFS,55.950145,-3.372288,EDI,143.10295712245613,230.30188542728206,1588.4428183398522,11.18621703056234
117,2022-02-05,IOS,BFS,EDI,BFS-EDI,1.0,0.0,ECONOMY,return,2022-10-14,2022-10-16,GBP,7500.0,CENTI,-32356,DIRECT_BOOKING,54.6575012207,-6.21582984924,GB,BFS,55.950145,-3.372288,EDI,143.10295712245613,230.30188542728206,1588.4428183398522,11.18621703056234
118,2022-02-05,IOS,BFS,EDI,BFS-EDI,1.0,0.0,ECONOMY,oneway,2022-05-24,,GBP,5200.0,CENTI,-32356,REDIRECT,54.6575012207,-6.21582984924,GB,BFS,55.950145,-3.372288,EDI,143.10295712245613,230.30188542728206,1588.4428183398522,11.18621703056234
119,2022-02-05,IOS,BFS,EDI,BFS-EDI,1.0,0.0,ECONOMY,oneway,2022-05-24,,GBP,5200.0,CENTI,-32356,DIRECT_BOOKING,54.6575012207,-6.21582984924,GB,BFS,55.950145,-3.372288,EDI,143.10295712245613,230.30188542728206,1588.4428183398522,11.18621703056234
121,2022-02-05,IOS,BRS,EDI,BRS-EDI,1.0,0.0,ECONOMY,return,2022-05-27,2022-05-29,GBP,14000.0,CENTI,-32356,REDIRECT,51.382702,-2.71909,GB,BRS,55.950145,-3.372288,EDI,316.7071723646795,509.69078760206276,3515.4496005900737,24.75668732809911
122,2022-02-05,IOS,BRS,EDI,BRS-EDI,1.0,0.0,ECONOMY,return,2022-06-24,2022-06-26,GBP,13700.0,CENTI,-32356,REDIRECT,51.382702,-2.71909,GB,BRS,55.950145,-3.372288,EDI,316.7071723646795,509.69078760206276,3515.4496005900737,24.75668732809911
123,2022-02-05,IOS,BRS,EDI,BRS-EDI,5.0,0.0,ECONOMY,return,2022-07-06,2022-11-06,GBP,33600.0,CENTI,-32356,REDIRECT,51.382702,-2.71909,GB,BRS,55.950145,-3.372288,EDI,316.7071723646795,509.69078760206276,3515.4496005900737,24.75668732809911
124,2022-02-05,IOS,BRS,EDI,BRS-EDI,2.0,0.0,ECONOMY,return,2022-07-06,2022-11-06,AUD,23500.0,CENTI,-32356,REDIRECT,51.382702,-2.71909,GB,BRS,55.950145,-3.372288,EDI,316.7071723646795,509.69078760206276,3515.4496005900737,24.75668732809911
